nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
48,341500,519,NULL,NULL,59.08,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,94603
49,294400,666,NULL,NULL,92,0,1,360,60,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,94591
50,281400,718,NULL,NULL,76.05,0,2,360,NULL,11/10/04,12/1/34,RefiWithCash,Owner,LimitedDocs,Multi,95838
51,238000,669,NULL,NULL,85,0,1,360,NULL,11/24/04,12/1/34,Purchase,Owner,NoDocs,SingleFamily,89502
52,450800,685,NULL,NULL,80,100,1,360,60,12/1/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,96708
53,174000,562,NULL,NULL,72.2,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,95519
54,259250,679,NULL,NULL,85,0,1,360,60,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,95368
55,145000,555,NULL,NULL,63.04,0,1,360,NULL,11/23/04,12/1/34,Refi,Owner,AllDocs,SingleFamily,95828
56,300000,624,NULL,NULL,75,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,95977
57,300000,643,NULL,NULL,80,100,1,360,60,11/29/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,95677
58,185250,673,NULL,NULL,65,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,NoDocs,SingleFamily,89460
59,191920,690,NULL,NULL,80,100,1,360,60,11/30/04,12/1/34,Purchase,Owner,AllDocs,PUD,89408
60,208000,749,NULL,NULL,80,100,1,360,NULL,5/24/04,6/1/34,Purchase,Owner,AllDocs,Condo,91340
61,229392,679,NULL,NULL,80,100,1,360,60,7/30/04,8/1/34,Purchase,Owner,AllDocs,SingleFamily,93312
62,195000,608,NULL,NULL,89.44,0,1,360,60,8/23/04,9/1/34,Purchase,Owner,AllDocs,SingleFamily,93312
63,315000,607,NULL,NULL,90,0,1,360,60,8/25/04,9/1/34,Purchase,Owner,AllDocs,SingleFamily,93550
64,200000,618,NULL,NULL,80,0,1,360,NULL,8/30/04,9/1/34,Purchase,Owner,LimitedDocs,SingleFamily,90716
65,560000,709,NULL,NULL,66.67,0,4,360,NULL,8/30/04,9/1/34,Purchase,Owner,AllDocs,Multi,90046
66,275000,534,NULL,NULL,52.88,0,1,360,NULL,11/4/04,11/1/34,Refi,Owner,AllDocs,SingleFamily,95020
67,178500,600,NULL,NULL,85,0,1,360,NULL,9/15/04,10/1/34,RefiWithCash,Owner,LimitedDocs,Condo,93110
68,285000,548,NULL,NULL,74.61,0,1,360,NULL,9/28/04,10/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90606
