bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
800,4,180000,9/1/16,YES,RETAIL,5988031056,FRM,PURCHASE,MA,Aug-46,1,1,43,4,360,88,180000,PRINCIPAL,SF,"NFM,INC"
681,4,393306,9/1/16,YES,RETAIL,5988031058,FRM,PURCHASE,MN,Aug-46,2,1,39,4,360,80,393306,PRINCIPAL,PUD,HOMEFEDERALSAVINGSBANK
763,3.625,356800,9/1/16,NO,RETAIL,5988031060,FRM,REFINANCE,WA,Aug-36,1,1,40,3.625,240,80,356800,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
796,3.625,388900,9/1/16,NO,RETAIL,5988031061,FRM,REFINANCE,CA,Aug-46,1,1,35,3.625,360,70,388900,PRINCIPAL,SF,IMPACMORTGAGECORP.
811,3.75,91000,9/1/16,NO,RETAIL,5988031062,FRM,REFINANCE,CO,Aug-36,1,1,17,3.75,240,40,91000,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
805,3.75,275000,9/1/16,NO,RETAIL,5988031063,FRM,REFINANCE,OR,Aug-36,2,1,28,3.75,240,40,275000,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
788,3.5,391410,9/1/16,YES,RETAIL,5988031064,FRM,PURCHASE,OR,Aug-36,2,1,33,3.5,240,90,391410,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
793,3.375,385330,9/1/16,NO,RETAIL,5988031067,FRM,REFINANCE,OR,Aug-36,2,1,35,3.375,240,68,385330,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
669,3.75,271800,9/1/16,NO,RETAIL,5988031068,FRM,REFINANCE,OR,Aug-36,2,1,31,3.75,240,60,271800,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
677,2.875,175000,8/1/16,NO,RETAIL,5988031072,FRM,REFINANCE,CA,Jul-26,2,1,39,2.875,120,28,175000,PRINCIPAL,SF,"MUFGUNIONBANK,NATIONALASSOCIATION"
635,4.375,109900,8/1/16,YES,BROKER,5988031073,FRM,PURCHASE,KY,Jul-46,2,1,23,4.375,360,69,109900,PRINCIPAL,SF,"PINGORALOANSERVICING,LLC"
758,4,104755.85,7/1/16,YES,CORRESPONDENT,5988031075,FRM,PURCHASE,VA,Jun-46,1,1,34,4,360,92,104907,PRINCIPAL,SF,"BOKF,NATIONALASSOCIATION"
729,4,442000,9/1/16,NO,RETAIL,5988031076,FRM,REFINANCE,WA,Aug-46,1,1,30,4,360,67,442000,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
817,3.125,281500,9/1/16,NO,RETAIL,5988031079,FRM,REFINANCE,OR,Aug-36,2,1,20,3.125,240,90,281500,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
675,3.75,319000,9/1/16,NO,RETAIL,5988031082,FRM,REFINANCE,OR,Aug-46,1,1,19,3.75,360,68,319000,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
750,3.625,152000,8/1/16,NO,CORRESPONDENT,5988031083,FRM,PURCHASE,IA,Jul-46,2,1,30,3.625,360,80,152000,PRINCIPAL,SF,"BOKF,NATIONALASSOCIATION"
726,3.875,58100,9/1/16,YES,CORRESPONDENT,5988031084,FRM,PURCHASE,MI,Aug-46,1,1,18,3.875,360,97,58100,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
804,3.875,58000,9/1/16,NO,CORRESPONDENT,5988031085,FRM,REFINANCE,MI,Aug-46,1,1,31,3.875,360,78,58000,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
745,3.75,108000,9/1/16,YES,CORRESPONDENT,5988031086,FRM,PURCHASE,SD,Aug-46,2,1,35,3.75,360,80,108000,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
757,3.75,111000,9/1/16,NO,CORRESPONDENT,5988031087,FRM,REFINANCE,MI,Aug-36,1,1,27,3.75,240,57,111000,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
793,3.75,200000,9/1/16,NO,RETAIL,5988031088,FRM,PURCHASE,OR,Aug-46,2,1,29,3.75,360,77,200000,PRINCIPAL,PUD,FIRSTTECHNOLOGYFEDERALCREDITUNION
717,3.875,171000,8/1/16,NO,CORRESPONDENT,5988031089,FRM,REFINANCE,SD,Jul-46,2,1,40,3.875,360,67,171000,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
807,2.875,50000,9/1/16,NO,CORRESPONDENT,5988031090,FRM,PURCHASE,SD,Aug-26,2,1,18,2.875,120,22,50000,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
719,3.875,152193,9/1/16,YES,CORRESPONDENT,5988031091,FRM,PURCHASE,SD,Aug-46,2,1,44,3.875,360,97,152193,PRINCIPAL,SF,"NEIGHBORHOODMORTGAGESOLUTIONS,LLC"
752,3.875,78310,9/1/16,YES,RETAIL,5988031092,FRM,PURCHASE,IL,Aug-46,1,1,40,3.875,360,80,78310,PRINCIPAL,SF,ROUNDPOINTMORTGAGESERVICINGCORPORATIO
806,2.875,350000,9/1/16,NO,RETAIL,5988031093,FRM,REFINANCE,WA,Aug-31,2,1,23,2.875,180,39,350000,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
766,3.125,265520,9/1/16,NO,RETAIL,5988031097,FRM,REFINANCE,WA,Aug-31,1,1,20,3.125,180,69,265520,PRINCIPAL,CONDO,FIRSTTECHNOLOGYFEDERALCREDITUNION
669,3.625,132890,9/1/16,YES,RETAIL,5988031098,FRM,PURCHASE,UT,Aug-46,2,1,34,3.625,360,97,132890,PRINCIPAL,SF,STATEBANKOFSOUTHERNUTAH
720,4.25,89600,9/1/16,NO,CORRESPONDENT,5988031099,FRM,PURCHASE,UT,Aug-46,1,1,35,4.25,360,80,89600,INVESTOR,SF,STATEBANKOFSOUTHERNUTAH
696,3.875,132750,9/1/16,NO,RETAIL,5988031100,FRM,REFINANCE,UT,Aug-46,1,1,30,3.875,360,75,132750,INVESTOR,SF,STATEBANKOFSOUTHERNUTAH
814,2.875,314000,9/1/16,NO,RETAIL,5988031101,FRM,REFINANCE,CA,Aug-31,1,1,32,2.875,180,77,314000,PRINCIPAL,SF,FIRSTTECHNOLOGYFEDERALCREDITUNION
688,3.625,411350,9/1/16,NO,RETAIL,5988031103,FRM,REFINANCE,CA,Aug-46,2,1,34,3.625,360,69,411350,PRINCIPAL,SF,FINANCIALPARTNERSCREDITUNION
809,3.5,80000,9/1/16,NO,RETAIL,5988031107,FRM,PURCHASE,TX,Aug-46,1,1,41,3.5,360,27,80000,PRINCIPAL,SF,SFMCL.P.
755,3.625,273000,9/1/16,NO,RETAIL,5988031109,FRM,REFINANCE,CA,Aug-46,1,1,26,3.625,360,54,273000,PRINCIPAL,SF,FINANCIALPARTNERSCREDITUNION
