nb_loan_number nb_original_balance nb_original_fico nb_debt_ratio nb_original_rate nb_original_ltv nb_original_cltv nb_unit_count nb_original_term nb_io_term nb_origination_date nb_maturity_date nb_purpose_code nb_occupancy_code nb_documentation_type_code nb_property_type_code nb_property_zip_code
45 140000.00 627 NULL NULL 70.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 96792
46 352800.00 580 NULL NULL 80.0000 0.0000 1 360 60 2004-11-05 2034-12-01 RefiWithCash Owner LimitedDocs PUD 95602
47 212000.00 610 NULL NULL 80.0000 87.5500 1 360 NULL 2004-11-19 2034-12-01 Refi Owner LimitedDocs SingleFamily 95916
48 341500.00 519 NULL NULL 59.0800 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 94603
49 294400.00 666 NULL NULL 92.0000 0.0000 1 360 60 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 94591
50 281400.00 718 NULL NULL 76.0500 0.0000 2 360 NULL 2004-11-10 2034-12-01 RefiWithCash Owner LimitedDocs Multi 95838
51 238000.00 669 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 Purchase Owner NoDocs SingleFamily 89502
52 450800.00 685 NULL NULL 80.0000 100.0000 1 360 60 2004-12-01 2034-12-01 Purchase Owner LimitedDocs SingleFamily 96708
53 174000.00 562 NULL NULL 72.2000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 95519
54 259250.00 679 NULL NULL 85.0000 0.0000 1 360 60 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 95368
55 145000.00 555 NULL NULL 63.0400 0.0000 1 360 NULL 2004-11-23 2034-12-01 Refi Owner AllDocs SingleFamily 95828
56 300000.00 624 NULL NULL 75.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 95977
57 300000.00 643 NULL NULL 80.0000 100.0000 1 360 60 2004-11-29 2034-12-01 Purchase Owner LimitedDocs SingleFamily 95677
58 185250.00 673 NULL NULL 65.0000 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner NoDocs SingleFamily 89460
59 191920.00 690 NULL NULL 80.0000 100.0000 1 360 60 2004-11-30 2034-12-01 Purchase Owner AllDocs PUD 89408
60 208000.00 749 NULL NULL 80.0000 100.0000 1 360 NULL 2004-05-24 2034-06-01 Purchase Owner AllDocs Condo 91340
61 229392.00 679 NULL NULL 80.0000 100.0000 1 360 60 2004-07-30 2034-08-01 Purchase Owner AllDocs SingleFamily 93312
62 195000.00 608 NULL NULL 89.4400 0.0000 1 360 60 2004-08-23 2034-09-01 Purchase Owner AllDocs SingleFamily 93312
63 315000.00 607 NULL NULL 90.0000 0.0000 1 360 60 2004-08-25 2034-09-01 Purchase Owner AllDocs SingleFamily 93550
64 200000.00 618 NULL NULL 80.0000 0.0000 1 360 NULL 2004-08-30 2034-09-01 Purchase Owner LimitedDocs SingleFamily 90716
65 560000.00 709 NULL NULL 66.6700 0.0000 4 360 NULL 2004-08-30 2034-09-01 Purchase Owner AllDocs Multi 90046
66 275000.00 534 NULL NULL 52.8800 0.0000 1 360 NULL 2004-11-04 2034-11-01 Refi Owner AllDocs SingleFamily 95020
67 178500.00 600 NULL NULL 85.0000 0.0000 1 360 NULL 2004-09-15 2034-10-01 RefiWithCash Owner LimitedDocs Condo 93110
68 285000.00 548 NULL NULL 74.6100 0.0000 1 360 NULL 2004-09-28 2034-10-01 RefiWithCash Owner LimitedDocs SingleFamily 90606
69 60000.00 592 NULL NULL 70.8600 70.8600 1 360 NULL 2004-10-08 2034-10-01 RefiWithCash Owner LimitedDocs SingleFamily 93041
70 188000.00 520 NULL NULL 59.6800 0.0000 1 360 NULL 2004-10-01 2034-10-01 RefiWithCash Owner LimitedDocs SingleFamily 92571
71 225000.00 719 NULL NULL 75.0000 0.0000 1 360 NULL 2004-10-20 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 91331
72 143000.00 596 NULL NULL 65.0000 0.0000 1 360 NULL 2004-12-01 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 90031
73 314000.00 698 NULL NULL 70.5600 0.0000 1 360 60 2004-10-21 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 93033
74 138600.00 630 NULL NULL 70.0000 0.0000 2 360 NULL 2004-11-23 2034-12-01 RefiWithCash NotOwner LimitedDocs Multi 93612
75 297600.00 NULL NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 93536
76 102000.00 542 NULL NULL 71.8300 0.0000 1 360 NULL 2004-11-10 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 93505
77 220000.00 530 NULL NULL 62.8600 0.0000 1 360 NULL 2004-10-29 2034-11-01 RefiWithCash Owner LimitedDocs SingleFamily 90255
78 210000.00 643 NULL NULL 78.9500 0.0000 1 360 NULL 2004-11-22 2034-12-01 RefiWithCash Owner LimitedDocs Condo 91331
79 348000.00 641 NULL NULL 80.0000 0.0000 2 360 NULL 2004-11-22 2034-12-01 RefiWithCash Owner NoDocs Multi 90018
80 409500.00 702 NULL NULL 90.0000 0.0000 2 360 NULL 2004-11-12 2034-12-01 Purchase Owner AllDocs Multi 90280
81 255000.00 524 NULL NULL 71.8300 0.0000 1 360 NULL 2004-11-18 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91331
82 200000.00 590 NULL NULL 82.6400 0.0000 1 360 NULL 2004-11-22 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 90044
83 350000.00 564 NULL NULL 67.9600 0.0000 1 360 NULL 2004-11-16 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 90638
84 164000.00 672 NULL NULL 80.0000 0.0000 1 360 60 2004-11-30 2034-12-01 Purchase Owner LimitedDocs SingleFamily 92395
85 198000.00 551 NULL NULL 59.7300 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91331
86 346500.00 600 NULL NULL 90.0000 0.0000 1 360 60 2004-11-19 2034-12-01 Purchase Owner LimitedDocs SingleFamily 90255
87 308800.00 668 NULL NULL 80.0000 100.0000 2 360 60 2004-11-29 2034-12-01 Purchase Owner LimitedDocs Multi 90716
88 152000.00 562 NULL NULL 49.0300 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 90008
89 207750.00 558 NULL NULL 75.0000 0.0000 1 360 60 2004-11-18 2034-12-01 Purchase Owner AllDocs SingleFamily 93550
90 220000.00 678 NULL NULL 79.1400 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs Condo 93063
91 171000.00 598 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-16 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 92325
92 200000.00 715 NULL NULL 55.5600 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 91402
93 50000.00 617 NULL NULL 80.3100 80.3100 1 240 NULL 2004-11-30 2024-12-01 Refi Owner AllDocs SingleFamily 93534
94 285000.00 735 NULL NULL 95.0000 0.0000 1 360 60 2004-11-19 2034-12-01 Purchase Owner LimitedDocs SingleFamily 90650
95 427500.00 705 NULL NULL 89.0600 0.0000 2 360 60 2004-11-30 2034-12-01 Purchase Owner LimitedDocs Multi 93454
96 195500.00 710 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-19 2034-12-01 RefiWithCash NotOwner LimitedDocs SingleFamily 95824
