,Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score,reliable
1586,91064,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1587,91157,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1588,91194,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1589,91221,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1590,91282,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1591,91337,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1592,91395,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1593,91426,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1594,91459,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1595,91467,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1596,91479,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1597,91505,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1598,91541,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1599,91546,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1600,91578,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1601,91624,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
